GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report/backend,com.ncorp,PasswordConfig,0,7,0,0,0,2,0,2,0,2
report/backend,com.ncorp.service,MatchStatsService,12,71,1,3,0,18,1,5,0,4
report/backend,com.ncorp.service,QuizService,28,167,2,8,0,38,2,8,0,5
report/backend,com.ncorp.service,UserService,2,38,1,1,0,10,1,2,0,2
report/backend,com.ncorp.service,DefaultDataInitializerService,0,185,0,0,0,20,0,2,0,2
report/backend,com.ncorp.service,CategoryService,20,90,4,4,0,21,3,8,0,7
report/backend,com.ncorp.entity,User,12,19,0,0,4,9,4,5,4,5
report/backend,com.ncorp.entity,Category,8,16,0,0,4,7,2,5,2,5
report/backend,com.ncorp.entity,SubCategory,4,20,0,0,2,9,1,6,1,6
report/backend,com.ncorp.entity,Quiz,7,52,0,0,3,23,2,15,2,15
report/backend,com.ncorp.entity,MatchStats,10,31,0,0,4,11,3,6,3,6
report/frontend,com.ncorp.controller,SignUpController,2,53,2,2,1,14,2,6,0,6
report/frontend,com.ncorp.controller,MatchController,6,109,1,7,1,29,2,13,1,10
report/frontend,com.ncorp.controller,UserInfoController,0,15,0,0,0,3,0,3,0,3
report/frontend,com.ncorp,WebSecurityConfig,12,90,0,0,4,26,0,4,0,4
report/frontend,com.ncorp,Application,5,3,0,0,2,1,1,1,1,1
report/frontend,com.ncorp,RedirectForwardHandler,0,5,0,0,0,2,0,2,0,2
